condition,edge_count,ef,epoch,recall
static,0,32,0,1.0
static,0,64,0,1.0
static,0,128,0,1.0
static,0,32,1,1.0
static,0,64,1,1.0
static,0,128,1,1.0
static,0,32,2,1.0
static,0,64,2,1.0
static,0,128,2,1.0
static,0,32,3,1.0
static,0,64,3,1.0
static,0,128,3,1.0
static,0,32,4,1.0
static,0,64,4,1.0
static,0,128,4,1.0
static,0,32,5,1.0
static,0,64,5,1.0
static,0,128,5,1.0
static,0,32,6,0.915
static,0,64,6,0.95
static,0,128,6,0.9808
static,0,32,7,0.8308000000000001
static,0,64,7,0.9106000000000001
static,0,128,7,0.9634000000000001
static,0,32,8,0.7414
static,0,64,8,0.861
static,0,128,8,0.9408000000000001
static,0,32,9,0.6596000000000001
static,0,64,9,0.8172
static,0,128,9,0.9174000000000001
static,0,32,10,0.6636
static,0,64,10,0.8172
static,0,128,10,0.9216
static,0,32,11,0.6617999999999999
static,0,64,11,0.822
static,0,128,11,0.9344000000000001
static,0,32,12,0.662
static,0,64,12,0.8105999999999999
static,0,128,12,0.9202000000000001
static,0,32,13,0.665
static,0,64,13,0.8291999999999999
static,0,128,13,0.922
static,0,32,14,0.6662
static,0,64,14,0.8144000000000001
static,0,128,14,0.9154000000000001
static,0,32,15,0.6642
static,0,64,15,0.8164
static,0,128,15,0.9228000000000001
static,0,32,16,0.5808
static,0,64,16,0.7806
static,0,128,16,0.9106000000000002
static,0,32,17,0.5016
static,0,64,17,0.7432000000000001
static,0,128,17,0.8812000000000001
static,0,32,18,0.40419999999999995
static,0,64,18,0.6804
static,0,128,18,0.8592000000000001
static,0,32,19,0.327
static,0,64,19,0.633
static,0,128,19,0.8430000000000001
static,0,32,20,0.32739999999999997
static,0,64,20,0.6386
static,0,128,20,0.8464
static,0,32,21,0.3292
static,0,64,21,0.644
static,0,128,21,0.8536000000000001
static,0,32,22,0.32880000000000004
static,0,64,22,0.6576
static,0,128,22,0.8610000000000001
static,0,32,23,0.324
static,0,64,23,0.6391999999999999
static,0,128,23,0.8484
static,0,32,24,0.32680000000000003
static,0,64,24,0.6355999999999999
static,0,128,24,0.8494
static,0,32,25,0.335
static,0,64,25,0.6332000000000001
static,0,128,25,0.8386000000000001
static,0,32,26,0.32920000000000005
static,0,64,26,0.6283999999999998
static,0,128,26,0.8404
static,0,32,27,0.3258
static,0,64,27,0.6376
static,0,128,27,0.8492000000000001
static,0,32,28,0.3296
static,0,64,28,0.6386000000000001
static,0,128,28,0.8444
static,0,32,29,0.33379999999999993
static,0,64,29,0.6437999999999999
static,0,128,29,0.8456
static,0,32,30,0.32839999999999997
static,0,64,30,0.629
static,0,128,30,0.8516000000000001
static,0,32,31,0.32720000000000005
static,0,64,31,0.6312000000000001
static,0,128,31,0.841
static,0,32,32,0.32680000000000003
static,0,64,32,0.6393999999999999
static,0,128,32,0.8522000000000001
static,0,32,33,0.32680000000000003
static,0,64,33,0.6457999999999999
static,0,128,33,0.8482000000000001
static,0,32,34,0.335
static,0,64,34,0.6355999999999999
static,0,128,34,0.8474
static,0,32,35,0.32539999999999997
static,0,64,35,0.6322000000000001
static,0,128,35,0.85
static,0,32,36,0.319
static,0,64,36,0.6284000000000001
static,0,128,36,0.849
static,0,32,37,0.328
static,0,64,37,0.6277999999999999
static,0,128,37,0.8448000000000001
static,0,32,38,0.323
static,0,64,38,0.639
static,0,128,38,0.8486000000000001
static,0,32,39,0.3272
static,0,64,39,0.643
static,0,128,39,0.847
static,0,32,40,0.333
static,0,64,40,0.6336
static,0,128,40,0.8402000000000001
static,0,32,41,0.32980000000000004
static,0,64,41,0.6477999999999999
static,0,128,41,0.8580000000000001
static,0,32,42,0.317
static,0,64,42,0.6342
static,0,128,42,0.8434
static,0,32,43,0.3252
static,0,64,43,0.6374000000000001
static,0,128,43,0.8398000000000001
static,0,32,44,0.3232
static,0,64,44,0.6365999999999999
static,0,128,44,0.845
static,0,32,45,0.3222
static,0,64,45,0.6394
static,0,128,45,0.8522000000000001
static,0,32,46,0.3258
static,0,64,46,0.6253999999999998
static,0,128,46,0.8418000000000001
static,0,32,47,0.324
static,0,64,47,0.6342000000000001
static,0,128,47,0.8474
static,0,32,48,0.327
static,0,64,48,0.6332000000000001
static,0,128,48,0.8456000000000001
static,0,32,49,0.32039999999999996
static,0,64,49,0.6354
static,0,128,49,0.8452000000000001
adaptive_current,0,32,0,1.0
adaptive_current,0,64,0,1.0
adaptive_current,0,128,0,1.0
adaptive_current,0,32,1,1.0
adaptive_current,0,64,1,1.0
adaptive_current,0,128,1,1.0
adaptive_current,0,32,2,1.0
adaptive_current,0,64,2,1.0
adaptive_current,0,128,2,1.0
adaptive_current,0,32,3,1.0
adaptive_current,0,64,3,1.0
adaptive_current,0,128,3,1.0
adaptive_current,0,32,4,1.0
adaptive_current,0,64,4,1.0
adaptive_current,0,128,4,1.0
adaptive_current,0,32,5,1.0
adaptive_current,0,64,5,1.0
adaptive_current,0,128,5,1.0
adaptive_current,15926,32,6,0.915
adaptive_current,15926,64,6,0.95
adaptive_current,15926,128,6,0.9808
adaptive_current,30358,32,7,0.8308000000000001
adaptive_current,30358,64,7,0.9106000000000001
adaptive_current,30358,128,7,0.9634000000000001
adaptive_current,43149,32,8,0.7496
adaptive_current,43149,64,8,0.8631999999999999
adaptive_current,43149,128,8,0.9418000000000001
adaptive_current,54703,32,9,0.6776
adaptive_current,54703,64,9,0.8244
adaptive_current,54703,128,9,0.9190000000000002
adaptive_current,64683,32,10,0.6844000000000001
adaptive_current,64683,64,10,0.8245999999999999
adaptive_current,64683,128,10,0.924
adaptive_current,72749,32,11,0.6782
adaptive_current,72749,64,11,0.8278
adaptive_current,72749,128,11,0.9362
adaptive_current,80673,32,12,0.6948000000000001
adaptive_current,80673,64,12,0.8284
adaptive_current,80673,128,12,0.9246000000000001
adaptive_current,87048,32,13,0.689
adaptive_current,87048,64,13,0.8378
adaptive_current,87048,128,13,0.9238
adaptive_current,93063,32,14,0.699
adaptive_current,93063,64,14,0.8298
adaptive_current,93063,128,14,0.9206
adaptive_current,97751,32,15,0.6932
adaptive_current,97751,64,15,0.8276
adaptive_current,97751,128,15,0.9258000000000001
adaptive_current,101916,32,16,0.611
adaptive_current,101916,64,16,0.7901999999999999
adaptive_current,101916,128,16,0.9134000000000001
adaptive_current,107050,32,17,0.5662
adaptive_current,107050,64,17,0.7704
adaptive_current,107050,128,17,0.8882000000000001
adaptive_current,112139,32,18,0.4744
adaptive_current,112139,64,18,0.709
adaptive_current,112139,128,18,0.8678
adaptive_current,117130,32,19,0.42880000000000007
adaptive_current,117130,64,19,0.68
adaptive_current,117130,128,19,0.856
adaptive_current,120520,32,20,0.45120000000000005
adaptive_current,120520,64,20,0.6846
adaptive_current,120520,128,20,0.8580000000000001
adaptive_current,124142,32,21,0.43920000000000003
adaptive_current,124142,64,21,0.6824000000000001
adaptive_current,124142,128,21,0.8630000000000001
adaptive_current,126902,32,22,0.4554
adaptive_current,126902,64,22,0.7104
adaptive_current,126902,128,22,0.8744000000000001
adaptive_current,129875,32,23,0.4514000000000001
adaptive_current,129875,64,23,0.692
adaptive_current,129875,128,23,0.8627999999999999
adaptive_current,132859,32,24,0.45539999999999997
adaptive_current,132859,64,24,0.6862
adaptive_current,132859,128,24,0.8632000000000001
adaptive_current,135561,32,25,0.461
adaptive_current,135561,64,25,0.6866
adaptive_current,135561,128,25,0.8528000000000001
adaptive_current,137381,32,26,0.4874
adaptive_current,137381,64,26,0.6946
adaptive_current,137381,128,26,0.8588000000000001
adaptive_current,140411,32,27,0.461
adaptive_current,140411,64,27,0.6866
adaptive_current,140411,128,27,0.8624
adaptive_current,142812,32,28,0.4634
adaptive_current,142812,64,28,0.6922
adaptive_current,142812,128,28,0.8592000000000001
adaptive_current,145330,32,29,0.4666
adaptive_current,145330,64,29,0.704
adaptive_current,145330,128,29,0.861
adaptive_current,147453,32,30,0.47040000000000004
adaptive_current,147453,64,30,0.6952
adaptive_current,147453,128,30,0.8676000000000001
adaptive_current,148584,32,31,0.48840000000000006
adaptive_current,148584,64,31,0.7028
adaptive_current,148584,128,31,0.8580000000000001
adaptive_current,149701,32,32,0.4834000000000001
adaptive_current,149701,64,32,0.6948000000000001
adaptive_current,149701,128,32,0.865
adaptive_current,151178,32,33,0.47740000000000005
adaptive_current,151178,64,33,0.7078
adaptive_current,151178,128,33,0.8638000000000001
adaptive_current,152132,32,34,0.5026
adaptive_current,152132,64,34,0.712
adaptive_current,152132,128,34,0.8660000000000001
adaptive_current,153607,32,35,0.47580000000000006
adaptive_current,153607,64,35,0.6992
adaptive_current,153607,128,35,0.8676
adaptive_current,155281,32,36,0.4958
adaptive_current,155281,64,36,0.6982
adaptive_current,155281,128,36,0.8684000000000001
adaptive_current,156571,32,37,0.5014000000000001
adaptive_current,156571,64,37,0.6995999999999999
adaptive_current,156571,128,37,0.8626
adaptive_current,157536,32,38,0.5032000000000001
adaptive_current,157536,64,38,0.7072
adaptive_current,157536,128,38,0.8640000000000001
adaptive_current,158189,32,39,0.48960000000000004
adaptive_current,158189,64,39,0.7108
adaptive_current,158189,128,39,0.8637999999999999
adaptive_current,158808,32,40,0.5017999999999999
adaptive_current,158808,64,40,0.7004
adaptive_current,158808,128,40,0.8582000000000001
adaptive_current,159400,32,41,0.5092
adaptive_current,159400,64,41,0.712
adaptive_current,159400,128,41,0.873
adaptive_current,160338,32,42,0.49660000000000004
adaptive_current,160338,64,42,0.7108
adaptive_current,160338,128,42,0.8648
adaptive_current,161268,32,43,0.4998000000000001
adaptive_current,161268,64,43,0.7168
adaptive_current,161268,128,43,0.8602000000000001
adaptive_current,162201,32,44,0.5068
adaptive_current,162201,64,44,0.7112
adaptive_current,162201,128,44,0.8664000000000001
adaptive_current,163339,32,45,0.503
adaptive_current,163339,64,45,0.7113999999999998
adaptive_current,163339,128,45,0.8706000000000002
adaptive_current,164249,32,46,0.5048
adaptive_current,164249,64,46,0.7024
adaptive_current,164249,128,46,0.8572000000000001
adaptive_current,165201,32,47,0.487
adaptive_current,165201,64,47,0.7016
adaptive_current,165201,128,47,0.8670000000000001
adaptive_current,166192,32,48,0.4976
adaptive_current,166192,64,48,0.7116
adaptive_current,166192,128,48,0.8642000000000002
adaptive_current,166782,32,49,0.4894
adaptive_current,166782,64,49,0.7064000000000001
adaptive_current,166782,128,49,0.8622000000000002
adaptive_improved,26620,32,0,1.0
adaptive_improved,26620,64,0,1.0
adaptive_improved,26620,128,0,1.0
adaptive_improved,57200,32,1,1.0
adaptive_improved,57200,64,1,1.0
adaptive_improved,57200,128,1,1.0
adaptive_improved,82280,32,2,1.0
adaptive_improved,82280,64,2,1.0
adaptive_improved,82280,128,2,1.0
adaptive_improved,110220,32,3,1.0
adaptive_improved,110220,64,3,1.0
adaptive_improved,110220,128,3,1.0
adaptive_improved,137500,32,4,1.0
adaptive_improved,137500,64,4,1.0
adaptive_improved,137500,128,4,1.0
adaptive_improved,164780,32,5,1.0
adaptive_improved,164780,64,5,1.0
adaptive_improved,164780,128,5,1.0
adaptive_improved,201680,32,6,0.9166
adaptive_improved,201680,64,6,0.9512
adaptive_improved,201680,128,6,0.981
adaptive_improved,249104,32,7,0.8344000000000001
adaptive_improved,249104,64,7,0.9126000000000001
adaptive_improved,249104,128,7,0.9638000000000001
adaptive_improved,305212,32,8,0.7672
adaptive_improved,305212,64,8,0.873
adaptive_improved,305212,128,8,0.9458000000000002
adaptive_improved,372796,32,9,0.716
adaptive_improved,372796,64,9,0.8452000000000001
adaptive_improved,372796,128,9,0.9248
adaptive_improved,441433,32,10,0.7464000000000001
adaptive_improved,441433,64,10,0.858
adaptive_improved,441433,128,10,0.9340000000000002
adaptive_improved,460010,32,11,0.7486000000000002
adaptive_improved,460010,64,11,0.8644
adaptive_improved,460010,128,11,0.9446000000000001
adaptive_improved,475994,32,12,0.8164000000000001
adaptive_improved,475994,64,12,0.888
adaptive_improved,475994,128,12,0.943
adaptive_improved,488531,32,13,0.7884
adaptive_improved,488531,64,13,0.8896
adaptive_improved,488531,128,13,0.9426000000000001
adaptive_improved,452574,32,14,0.8264000000000001
adaptive_improved,452574,64,14,0.8984
adaptive_improved,452574,128,14,0.9462
adaptive_improved,466925,32,15,0.8138000000000001
adaptive_improved,466925,64,15,0.8931999999999999
adaptive_improved,466925,128,15,0.9428
adaptive_improved,491754,32,16,0.7948000000000001
adaptive_improved,491754,64,16,0.886
adaptive_improved,491754,128,16,0.9434000000000001
adaptive_improved,472252,32,17,0.7884000000000001
adaptive_improved,472252,64,17,0.8707999999999999
adaptive_improved,472252,128,17,0.9286000000000001
adaptive_improved,459734,32,18,0.765
adaptive_improved,459734,64,18,0.8592000000000001
adaptive_improved,459734,128,18,0.9204000000000001
adaptive_improved,452365,32,19,0.7714000000000001
adaptive_improved,452365,64,19,0.8598000000000002
adaptive_improved,452365,128,19,0.9134000000000001
adaptive_improved,493940,32,20,0.7648
adaptive_improved,493940,64,20,0.8628000000000001
adaptive_improved,493940,128,20,0.9172
adaptive_improved,484543,32,21,0.8094000000000001
adaptive_improved,484543,64,21,0.8772000000000001
adaptive_improved,484543,128,21,0.9286000000000001
