condition,epoch,ef,recall,edge_count
static,0,32,0.8986000000000002,0
static,0,64,0.9526000000000001,0
static,0,128,0.977,0
static,1,32,0.906,0
static,1,64,0.9542,0
static,1,128,0.981,0
static,2,32,0.9102,0
static,2,64,0.958,0
static,2,128,0.9822000000000001,0
static,3,32,0.8986000000000002,0
static,3,64,0.951,0
static,3,128,0.9774,0
static,4,32,0.9044,0
static,4,64,0.9526000000000001,0
static,4,128,0.978,0
static,5,32,0.8922,0
static,5,64,0.9496,0
static,5,128,0.9758,0
static,6,32,0.8764,0
static,6,64,0.9364,0
static,6,128,0.9692000000000001,0
static,7,32,0.852,0
static,7,64,0.9264000000000001,0
static,7,128,0.9648,0
static,8,32,0.8552000000000001,0
static,8,64,0.9332,0
static,8,128,0.9708000000000001,0
static,9,32,0.829,0
static,9,64,0.9092,0
static,9,128,0.9520000000000001,0
static,10,32,0.8286000000000001,0
static,10,64,0.9096000000000001,0
static,10,128,0.9574000000000001,0
static,11,32,0.8432000000000001,0
static,11,64,0.919,0
static,11,128,0.9624000000000001,0
static,12,32,0.847,0
static,12,64,0.9106000000000002,0
static,12,128,0.9574,0
static,13,32,0.8276,0
static,13,64,0.9044,0
static,13,128,0.9502,0
static,14,32,0.8298,0
static,14,64,0.9084000000000001,0
static,14,128,0.9576000000000001,0
static,15,32,0.8218,0
static,15,64,0.911,0
static,15,128,0.9574000000000001,0
static,16,32,0.8054000000000001,0
static,16,64,0.8932,0
static,16,128,0.947,0
static,17,32,0.7807999999999999,0
static,17,64,0.8822000000000001,0
static,17,128,0.9448000000000001,0
static,18,32,0.7692,0
static,18,64,0.8732000000000001,0
static,18,128,0.936,0
static,19,32,0.7766000000000001,0
static,19,64,0.8756,0
static,19,128,0.9376000000000001,0
static,20,32,0.7647999999999999,0
static,20,64,0.8622000000000001,0
static,20,128,0.9346,0
static,21,32,0.7844000000000001,0
static,21,64,0.8694,0
static,21,128,0.9328,0
static,22,32,0.7686000000000001,0
static,22,64,0.8806000000000002,0
static,22,128,0.941,0
static,23,32,0.7994000000000001,0
static,23,64,0.8912,0
static,23,128,0.9474000000000001,0
static,24,32,0.781,0
static,24,64,0.8836,0
static,24,128,0.9406,0
adaptive_eh,0,32,0.8986000000000002,0
adaptive_eh,0,64,0.9526000000000001,0
adaptive_eh,0,128,0.977,0
adaptive_eh,1,32,0.906,0
adaptive_eh,1,64,0.9542,0
adaptive_eh,1,128,0.981,0
adaptive_eh,2,32,0.9102,0
adaptive_eh,2,64,0.958,0
adaptive_eh,2,128,0.9822000000000001,0
adaptive_eh,3,32,0.8986000000000002,0
adaptive_eh,3,64,0.951,0
adaptive_eh,3,128,0.9774,0
adaptive_eh,4,32,0.9044,0
adaptive_eh,4,64,0.9526000000000001,0
adaptive_eh,4,128,0.978,0
adaptive_eh,5,32,0.8922,0
adaptive_eh,5,64,0.9496,0
adaptive_eh,5,128,0.9758,0
adaptive_eh,6,32,0.8764,20812
adaptive_eh,6,64,0.9364,20812
adaptive_eh,6,128,0.9692000000000001,20812
adaptive_eh,7,32,0.8534,37132
adaptive_eh,7,64,0.9264000000000001,37132
adaptive_eh,7,128,0.9648,37132
adaptive_eh,8,32,0.8572000000000001,46507
adaptive_eh,8,64,0.9338000000000001,46507
adaptive_eh,8,128,0.9712000000000001,46507
adaptive_eh,9,32,0.83,53992
adaptive_eh,9,64,0.9096,53992
adaptive_eh,9,128,0.9522,53992
adaptive_eh,10,32,0.8346000000000001,60531
adaptive_eh,10,64,0.9116000000000002,60531
adaptive_eh,10,128,0.958,60531
adaptive_eh,11,32,0.845,66069
adaptive_eh,11,64,0.92,66069
adaptive_eh,11,128,0.963,66069
adaptive_eh,12,32,0.8512000000000001,72726
adaptive_eh,12,64,0.9126000000000002,72726
adaptive_eh,12,128,0.958,72726
adaptive_eh,13,32,0.8342,77458
adaptive_eh,13,64,0.9096000000000001,77458
adaptive_eh,13,128,0.9528000000000001,77458
adaptive_eh,14,32,0.8368,77458
adaptive_eh,14,64,0.912,77458
adaptive_eh,14,128,0.9588,77458
adaptive_eh,15,32,0.8282,77458
adaptive_eh,15,64,0.9136000000000002,77458
adaptive_eh,15,128,0.9586000000000001,77458
adaptive_eh,16,32,0.8096000000000001,91696
adaptive_eh,16,64,0.8962,91696
adaptive_eh,16,128,0.9486000000000001,91696
adaptive_eh,17,32,0.7874,103472
adaptive_eh,17,64,0.8864,103472
adaptive_eh,17,128,0.946,103472
adaptive_eh,18,32,0.7777999999999999,113349
adaptive_eh,18,64,0.878,113349
adaptive_eh,18,128,0.9372,113349
adaptive_eh,19,32,0.7856000000000002,119948
adaptive_eh,19,64,0.8797999999999999,119948
adaptive_eh,19,128,0.9388,119948
adaptive_eh,20,32,0.7742,129585
adaptive_eh,20,64,0.8674000000000001,129585
adaptive_eh,20,128,0.9358,129585
adaptive_eh,21,32,0.7956,139516
adaptive_eh,21,64,0.8756,139516
adaptive_eh,21,128,0.9344,139516
adaptive_eh,22,32,0.7797999999999999,147399
adaptive_eh,22,64,0.885,147399
adaptive_eh,22,128,0.9426000000000001,147399
adaptive_eh,23,32,0.8126,105774
adaptive_eh,23,64,0.8952,105774
adaptive_eh,23,128,0.9482,105774
adaptive_eh,24,32,0.79,105774
adaptive_eh,24,64,0.8868,105774
adaptive_eh,24,128,0.9418,105774
adaptive_layer0_eh,0,32,0.8986000000000002,0
adaptive_layer0_eh,0,64,0.9526000000000001,0
adaptive_layer0_eh,0,128,0.977,0
adaptive_layer0_eh,1,32,0.906,0
adaptive_layer0_eh,1,64,0.9542,0
adaptive_layer0_eh,1,128,0.981,0
adaptive_layer0_eh,2,32,0.9102,0
adaptive_layer0_eh,2,64,0.958,0
adaptive_layer0_eh,2,128,0.9822000000000001,0
adaptive_layer0_eh,3,32,0.8986000000000002,0
adaptive_layer0_eh,3,64,0.951,0
adaptive_layer0_eh,3,128,0.9774,0
adaptive_layer0_eh,4,32,0.9044,0
adaptive_layer0_eh,4,64,0.9526000000000001,0
adaptive_layer0_eh,4,128,0.978,0
adaptive_layer0_eh,5,32,0.8922,0
adaptive_layer0_eh,5,64,0.9496,0
adaptive_layer0_eh,5,128,0.9758,0
adaptive_layer0_eh,6,32,0.8764,8888
adaptive_layer0_eh,6,64,0.9364,8888
adaptive_layer0_eh,6,128,0.9692000000000001,8888
adaptive_layer0_eh,7,32,0.8526,14720
adaptive_layer0_eh,7,64,0.9264000000000001,14720
adaptive_layer0_eh,7,128,0.9648,14720
adaptive_layer0_eh,8,32,0.856,18359
adaptive_layer0_eh,8,64,0.9334,18359
adaptive_layer0_eh,8,128,0.9708000000000001,18359
adaptive_layer0_eh,9,32,0.83,20489
adaptive_layer0_eh,9,64,0.9096,20489
adaptive_layer0_eh,9,128,0.9522,20489
adaptive_layer0_eh,10,32,0.8294000000000001,22739
adaptive_layer0_eh,10,64,0.9096000000000001,22739
